cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
02,Baja California,0,Estatal,1001000001,Superficie continental,2020,71449.99480582,Kilómetros cuadrados
02,Baja California,0,Estatal,1002000001,Población total,1910,52272,Personas
02,Baja California,0,Estatal,1002000001,Población total,1921,23537,Personas
02,Baja California,0,Estatal,1002000001,Población total,1930,48327,Personas
02,Baja California,0,Estatal,1002000001,Población total,1940,78907,Personas
02,Baja California,0,Estatal,1002000001,Población total,1950,226965,Personas
02,Baja California,0,Estatal,1002000001,Población total,1960,520165,Personas
02,Baja California,0,Estatal,1002000001,Población total,1970,870421,Personas
02,Baja California,0,Estatal,1002000001,Población total,1980,1177886,Personas
02,Baja California,0,Estatal,1002000001,Población total,1990,1660855,Personas
02,Baja California,0,Estatal,1002000001,Población total,1995,2112140,Personas
02,Baja California,0,Estatal,1002000001,Población total,2000,2487367,Personas
02,Baja California,0,Estatal,1002000001,Población total,2005,2844469,Personas
02,Baja California,0,Estatal,1002000001,Población total,2010,3155070,Personas
02,Baja California,0,Estatal,1002000001,Población total,2015,3348898,Personas
02,Baja California,0,Estatal,1002000001,Población total,2020,3769020,Personas
02,Baja California,0,Estatal,1002000002,Población total hombres,1995,1064591,Personas
02,Baja California,0,Estatal,1002000002,Población total hombres,2000,1252581,Personas
02,Baja California,0,Estatal,1002000002,Población total hombres,2005,1431789,Personas
02,Baja California,0,Estatal,1002000002,Población total hombres,2010,1591610,Personas
02,Baja California,0,Estatal,1002000002,Población total hombres,2020,1900589,Personas
02,Baja California,0,Estatal,1002000003,Población total mujeres,1995,1047549,Personas
02,Baja California,0,Estatal,1002000003,Población total mujeres,2000,1234786,Personas
02,Baja California,0,Estatal,1002000003,Población total mujeres,2005,1412680,Personas
02,Baja California,0,Estatal,1002000003,Población total mujeres,2010,1563460,Personas
02,Baja California,0,Estatal,1002000003,Población total mujeres,2020,1868431,Personas
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,31.6,No especificada
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,30,No especificada
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,28.2,No especificada
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,27.3,No especificada
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,26.5144464356049,No especificada
02,Baja California,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,26.1710736622331,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,31.6,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,30,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,28.1,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27.4,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,13.2460794881183,No especificada
02,Baja California,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,26.4170761505579,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,31.5,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,30,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,28.3,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,27.2,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.2683669474866,No especificada
02,Baja California,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,25.920824241488,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,5.5,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,5.7,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,6.3,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2010,6.9,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2015,8.46371547328732,No especificada
02,Baja California,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2020,10.0856705792197,No especificada
02,Baja California,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,1995,5.3,No especificada
02,Baja California,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2000,5.4,No especificada
02,Baja California,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2005,5.9,No especificada
02,Baja California,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2010,6.5,No especificada
